show_id,show_name,season,season_id,couple_name,couple_id,appearance_id
90df,90 Day Fiancé,1,90df_1,Russ & Paola,russ_paola,russ_paola_90df_1
90df,90 Day Fiancé,1,90df_1,Alan & Kirlyam,alan_kirlyam,alan_kirlyam_90df_1
90df,90 Day Fiancé,1,90df_1,Louis & Aya,louis_aya,louis_aya_90df_1
90df,90 Day Fiancé,1,90df_1,Mike & Aziza,mike_aziza,mike_aziza_90df_1
90df,90 Day Fiancé,2,90df_2,Chelsea & Yamir,chelsea_yamir,chelsea_yamir_90df_2
90df,90 Day Fiancé,2,90df_2,Danielle & Mohamed,danielle_mohamed,danielle_mohamed_90df_2
90df,90 Day Fiancé,2,90df_2,Justin & Evelin,justin_evelin,justin_evelin_90df_2
90df,90 Day Fiancé,2,90df_2,Brett & Daya,brett_daya,brett_daya_90df_2
90df,90 Day Fiancé,2,90df_2,Jason & Cássia,jason_cássia,jason_cássia_90df_2
90df,90 Day Fiancé,2,90df_2,Danny & Amy,danny_amy,danny_amy_90df_2
90df,90 Day Fiancé,3,90df_3,Mark & Nikki,mark_nikki,mark_nikki_90df_3
90df,90 Day Fiancé,3,90df_3,Loren & Alexei,loren_alexei,loren_alexei_90df_3
90df,90 Day Fiancé,3,90df_3,Kyle & Noon,kyle_noon,kyle_noon_90df_3
90df,90 Day Fiancé,3,90df_3,Melanie & Devar,melanie_devar,melanie_devar_90df_3
90df,90 Day Fiancé,3,90df_3,Fernando & Carolina,fernando_carolina,fernando_carolina_90df_3
90df,90 Day Fiancé,3,90df_3,Josh & Aleksandra,josh_aleksandra,josh_aleksandra_90df_3
90df,90 Day Fiancé,4,90df_4,Jorge & Anfisa,jorge_anfisa,jorge_anfisa_90df_4
90df,90 Day Fiancé,4,90df_4,Nicole & Azan,nicole_azan,nicole_azan_90df_4
90df,90 Day Fiancé,4,90df_4,Narkyia & Olulowo,narkyia_olulowo,narkyia_olulowo_90df_4
90df,90 Day Fiancé,4,90df_4,Matt & Alla,matt_alla,matt_alla_90df_4
90df,90 Day Fiancé,4,90df_4,Chantel & Pedro,chantel_pedro,chantel_pedro_90df_4
90df,90 Day Fiancé,5,90df_5,Elizabeth & Andrei,elizabeth_andrei,elizabeth_andrei_90df_5
90df,90 Day Fiancé,5,90df_5,Evelyn & David,evelyn_david,evelyn_david_90df_5
90df,90 Day Fiancé,5,90df_5,Molly & Luis,molly_luis,molly_luis_90df_5
90df,90 Day Fiancé,5,90df_5,David & Annie,david_annie,david_annie_90df_5
90df,90 Day Fiancé,5,90df_5,Josh & Aika,josh_aika,josh_aika_90df_5
90df,90 Day Fiancé,5,90df_5,Nicole & Azan,nicole_azan,nicole_azan_90df_5
90df,90 Day Fiancé,6,90df_6,Ashley & Jay,ashley_jay,ashley_jay_90df_6
90df,90 Day Fiancé,6,90df_6,Colt & Larissa,colt_larissa,colt_larissa_90df_6
90df,90 Day Fiancé,6,90df_6,Jonathan & Fernanda,jonathan_fernanda,jonathan_fernanda_90df_6
90df,90 Day Fiancé,6,90df_6,Kalani & Asuelu,kalani_asuelu,kalani_asuelu_90df_6
90df,90 Day Fiancé,6,90df_6,Eric & Leida,eric_leida,eric_leida_90df_6
90df,90 Day Fiancé,6,90df_6,Steven & Olga,steven_olga,steven_olga_90df_6
90df,90 Day Fiancé,7,90df_7,Emily & Sasha,emily_sasha,emily_sasha_90df_7
90df,90 Day Fiancé,7,90df_7,Anna & Mursel,anna_mursel,anna_mursel_90df_7
90df,90 Day Fiancé,7,90df_7,Michael and Juliana,michael and juliana,michael and juliana_90df_7
90df,90 Day Fiancé,7,90df_7,Tania & Syngin,tania_syngin,tania_syngin_90df_7
90df,90 Day Fiancé,7,90df_7,Robert & Anny,robert_anny,robert_anny_90df_7
90df,90 Day Fiancé,7,90df_7,Blake & Jasmin,blake_jasmin,blake_jasmin_90df_7
90df,90 Day Fiancé,7,90df_7,Mike & Natalie,mike_natalie,mike_natalie_90df_7
90df,90 Day Fiancé,7,90df_7,Angela & Michael,angela_michael,angela_michael_90df_7
90df,90 Day Fiancé,8,90df_8,Andrew & Amira,andrew_amira,andrew_amira_90df_8
90df,90 Day Fiancé,8,90df_8,Brandon & Julia,brandon_julia,brandon_julia_90df_8
90df,90 Day Fiancé,8,90df_8,Jovi & Yara,jovi_yara,jovi_yara_90df_8
90df,90 Day Fiancé,8,90df_8,Mike & Natalie,mike_natalie,mike_natalie_90df_8
90df,90 Day Fiancé,8,90df_8,Rebecca & Zied,rebecca_zied,rebecca_zied_90df_8
90df,90 Day Fiancé,8,90df_8,Stephanie & Ryan,stephanie_ryan,stephanie_ryan_90df_8
90df,90 Day Fiancé,8,90df_8,Tarik & Hazel,tarik_hazel,tarik_hazel_90df_8
90df,90 Day Fiancé,9,90df_9,Kara & Guillermo,kara_guillermo,kara_guillermo_90df_9
90df,90 Day Fiancé,9,90df_9,Emily & Kobe,emily_kobe,emily_kobe_90df_9
90df,90 Day Fiancé,9,90df_9,Patrick & Thaís,patrick_thaís,patrick_thaís_90df_9
90df,90 Day Fiancé,9,90df_9,Jibri & Miona,jibri_miona,jibri_miona_90df_9
90df,90 Day Fiancé,9,90df_9,Yvette & Mohamed,yvette_mohamed,yvette_mohamed_90df_9
90df,90 Day Fiancé,9,90df_9,Bilal & Shaeeda,bilal_shaeeda,bilal_shaeeda_90df_9
90df,90 Day Fiancé,9,90df_9,Ariela & Biniyam,ariela_biniyam,ariela_biniyam_90df_9
b90,90 Day Fiancé: Before the 90 Days,1,b90_1,Patrick & Myriam,patrick_myriam,patrick_myriam_b90_1
b90,90 Day Fiancé: Before the 90 Days,1,b90_1,Cortney & Antonio,cortney_antonio,cortney_antonio_b90_1
b90,90 Day Fiancé: Before the 90 Days,1,b90_1,Sean & Abby,sean_abby,sean_abby_b90_1
b90,90 Day Fiancé: Before the 90 Days,1,b90_1,Larry & Jenny,larry_jenny,larry_jenny_b90_1
b90,90 Day Fiancé: Before the 90 Days,1,b90_1,Darcey & Jesse,darcey_jesse,darcey_jesse_b90_1
b90,90 Day Fiancé: Before the 90 Days,1,b90_1,Paul & Karine,paul_karine,paul_karine_b90_1
